Bulan,Tn,Tx,Tavg,RH_avg,RR,ss
Jan-15,25.24,30.65,27.34,81.42,16.72,3.63
Feb-15,24.81,29.83,27.04,83.61,32.27,4.13
Mar-15,25.52,31.26,28.16,78.37,9.27,5.24
Apr-15,26.31,32.14,28.71,77.10,4.20,5.58
Mei-15,26.47,32.73,29.19,72.48,2.78,7.09
Jun-15,26.21,32.07,28.74,71.96,2.48,6.37
Jul-15,25.81,32.35,28.48,70.04,0.13,7.38
Agu-15,25.84,32.24,28.38,72.27,0.00,7.92
Sep-15,26.18,32.20,28.93,68.00,1.07,8.33
Okt-15,27.04,33.08,29.57,66.66,0.00,8.16
Nov-15,27.04,33.18,29.68,72.90,6.94,6.52
Des-15,26.08,32.06,28.69,77.41,12.07,4.45
Jan-16,26.76,31.99,28.88,79.24,5.47,5.24
Feb-16,25.72,31.16,27.98,82.38,17.59,3.28
Mar-16,26.18,31.88,28.80,80.45,11.28,5.63
Apr-16,26.86,32.80,29.41,76.73,11.14,6.34
Mei-16,27.04,32.82,29.36,77.58,2.95,5.04
Jun-16,26.37,32.68,28.95,74.97,8.54,5.55
Jul-16,26.07,32.66,28.57,76.39,4.91,6.45
Agu-16,25.68,31.97,28.56,75.32,7.69,6.28
Sep-16,25.96,32.56,28.88,75.00,8.85,7.03
Okt-16,26.10,31.84,28.46,76.13,9.07,3.43
Nov-16,26.30,32.38,28.76,75.50,5.83,3.98
Des-16,26.33,32.13,28.57,74.55,1.49,3.88
Jan-17,25.93,31.37,28.22,77.23,13.66,4.00
Feb-17,25.05,30.60,27.52,81.04,28.22,4.01
Mar-17,25.72,31.97,28.32,77.42,7.76,5.53
Apr-17,25.67,32.80,28.85,76.17,8.93,5.35
Mei-17,26.48,32.75,29.37,73.66,3.79,4.47
Jun-17,26.00,32.21,28.70,75.86,11.28,5.06
Jul-17,26.52,32.58,28.81,72.13,3.91,4.69
Agu-17,26.09,32.44,28.83,67.45,0.16,5.35
Sep-17,26.60,32.40,29.09,70.57,6.78,7.64
Okt-17,26.75,32.80,29.44,72.94,3.85,6.05
Nov-17,26.14,32.49,28.84,75.33,8.03,4.41
Des-17,26.00,31.94,28.41,76.26,10.17,4.21
Jan-18,25.17,31.30,27.99,76.10,8.51,3.39
Feb-18,25.25,30.26,27.53,82.43,21.52,4.83
Mar-18,25.65,31.48,28.22,79.48,12.06,5.51
Apr-18,26.47,32.32,28.97,77.80,12.94,6.74
Mei-18,27.00,32.97,29.40,73.82,2.39,7.32
Jun-18,26.59,32.17,28.78,75.50,2.21,6.22
Jul-18,26.00,32.25,28.38,69.96,0.00,7.11
Agu-18,25.68,31.87,28.29,69.54,11.50,7.57
Sep-18,25.91,32.90,28.89,69.53,4.95,7.68
Okt-18,26.88,33.14,29.55,72.00,8.54,7.46
Nov-18,25.93,32.77,29.07,76.21,12.76,5.18
Des-18,26.21,33.21,28.96,75.19,2.23,4.84
Jan-19,25.30,31.58,28.21,80.42,13.70,4.10
Feb-19,26.33,31.71,28.53,80.11,11.49,6.30
Mar-19,25.70,31.85,28.23,79.10,12.00,4.82
Apr-19,26.78,32.64,29.11,78.77,6.38,6.24
Mei-19,27.40,33.26,29.72,74.32,2.12,6.58
Jun-19,26.76,32.65,29.21,74.07,0.06,6.12
Jul-19,26.10,32.39,28.62,71.06,0.00,7.74
Agu-19,25.63,32.19,28.24,71.61,0.00,8.28
Sep-19,26.24,32.61,28.76,71.03,0.00,7.91
Okt-19,27.00,32.95,29.45,71.37,0.11,8.37
Nov-19,27.15,32.90,29.57,72.57,5.23,7.68
Des-19,26.24,31.73,28.60,79.71,15.63,5.89
Jan-20,25.76,30.71,28.06,83.29,23.35,4.18
Feb-20,25.80,30.73,27.80,84.41,31.38,3.17
Mar-20,26.12,31.85,28.59,81.23,9.60,5.15
Apr-20,26.78,32.49,29.18,79.30,7.90,6.65
Mei-20,27.07,32.85,29.48,78.10,2.92,6.11
Jun-20,26.91,32.99,29.37,76.17,3.52,6.52
Jul-20,26.23,32.18,28.66,74.74,5.88,6.99
Agu-20,26.46,32.65,29.01,73.87,4.87,7.75
Sep-20,27.19,32.98,29.48,72.12,0.55,7.51
Okt-20,26.09,32.59,29.01,76.00,4.92,6.75
Nov-20,26.67,32.51,28.90,78.80,4.98,5.99
Des-20,25.58,31.31,27.96,80.00,9.46,3.81