Tanggal,KotaAdministrasi,Kecamatan,PenderitaDBD,JumlahMeninggalDBD
Jan-15,Jakarta Utara,Tanjung Priok,9,0
Feb-15,Jakarta Utara,Tanjung Priok,14,1
Mar-15,Jakarta Utara,Tanjung Priok,14,0
Apr-15,Jakarta Utara,Tanjung Priok,24,0
Mei-15,Jakarta Utara,Tanjung Priok,18,0
Jun-15,Jakarta Utara,Tanjung Priok,23,0
Jul-15,Jakarta Utara,Tanjung Priok,10,0
Agu-15,Jakarta Utara,Tanjung Priok,6,0
Sep-15,Jakarta Utara,Tanjung Priok,5,0
Okt-15,Jakarta Utara,Tanjung Priok,11,0
Nov-15,Jakarta Utara,Tanjung Priok,9,0
Des-15,Jakarta Utara,Tanjung Priok,4,0
Jan-16,Jakarta Utara,Tanjung Priok,26,0
Feb-16,Jakarta Utara,Tanjung Priok,6,0
Mar-16,Jakarta Utara,Tanjung Priok,12,0
Apr-16,Jakarta Utara,Tanjung Priok,4,0
Mei-16,Jakarta Utara,Tanjung Priok,10,0
Jun-16,Jakarta Utara,Tanjung Priok,5,0
Jul-16,Jakarta Utara,Tanjung Priok,10,0
Agu-16,Jakarta Utara,Tanjung Priok,8,0
Sep-16,Jakarta Utara,Tanjung Priok,2,0
Okt-16,Jakarta Utara,Tanjung Priok,14,0
Nov-16,Jakarta Utara,Tanjung Priok,10,0
Des-16,Jakarta Utara,Tanjung Priok,10,0
Jan-17,Jakarta Utara,Tanjung Priok,15,0
Feb-17,Jakarta Utara,Tanjung Priok,4,0
Mar-17,Jakarta Utara,Tanjung Priok,10,0
Apr-17,Jakarta Utara,Tanjung Priok,6,0
Mei-17,Jakarta Utara,Tanjung Priok,12,0
Jun-17,Jakarta Utara,Tanjung Priok,6,0
Jul-17,Jakarta Utara,Tanjung Priok,6,0
Agu-17,Jakarta Utara,Tanjung Priok,7,0
Sep-17,Jakarta Utara,Tanjung Priok,2,0
Okt-17,Jakarta Utara,Tanjung Priok,15,0
Nov-17,Jakarta Utara,Tanjung Priok,7,0
Des-17,Jakarta Utara,Tanjung Priok,12,0
Jan-18,Jakarta Utara,Tanjung Priok,15,0
Feb-18,Jakarta Utara,Tanjung Priok,15,0
Mar-18,Jakarta Utara,Tanjung Priok,22,0
Apr-18,Jakarta Utara,Tanjung Priok,14,0
Mei-18,Jakarta Utara,Tanjung Priok,19,0
Jun-18,Jakarta Utara,Tanjung Priok,12,0
Jul-18,Jakarta Utara,Tanjung Priok,6,0
Agu-18,Jakarta Utara,Tanjung Priok,9,0
Sep-18,Jakarta Utara,Tanjung Priok,2,0
Okt-18,Jakarta Utara,Tanjung Priok,3,0
Nov-18,Jakarta Utara,Tanjung Priok,4,0
Des-18,Jakarta Utara,Tanjung Priok,4,0
Jan-19,Jakarta Utara,Tanjung Priok,16,0
Feb-19,Jakarta Utara,Tanjung Priok,30,0
Mar-19,Jakarta Utara,Tanjung Priok,39,0
Apr-19,Jakarta Utara,Tanjung Priok,24,0
Mei-19,Jakarta Utara,Tanjung Priok,48,0
Jun-19,Jakarta Utara,Tanjung Priok,13,0
Jul-19,Jakarta Utara,Tanjung Priok,8,0
Agu-19,Jakarta Utara,Tanjung Priok,4,0
Sep-19,Jakarta Utara,Tanjung Priok,1,0
Okt-19,Jakarta Utara,Tanjung Priok,4,0
Nov-19,Jakarta Utara,Tanjung Priok,0,0
Des-19,Jakarta Utara,Tanjung Priok,2,0
Jan-20,Jakarta Utara,Tanjung Priok,9,0
Feb-20,Jakarta Utara,Tanjung Priok,18,0
Mar-20,Jakarta Utara,Tanjung Priok,32,0
Apr-20,Jakarta Utara,Tanjung Priok,53,0
Mei-20,Jakarta Utara,Tanjung Priok,18,0
Jun-20,Jakarta Utara,Tanjung Priok,8,0
Jul-20,Jakarta Utara,Tanjung Priok,5,0
Agu-20,Jakarta Utara,Tanjung Priok,2,0
Sep-20,Jakarta Utara,Tanjung Priok,1,0
Okt-20,Jakarta Utara,Tanjung Priok,2,0
Nov-20,Jakarta Utara,Tanjung Priok,2,0
Des-20,Jakarta Utara,Tanjung Priok,2,0